"r","theo","border"
238.42236328125,178584.535950587,206479.840025677
241.294921875,182913.700924276,211142.161467281
244.16748046875,187294.712185076,216236.888012542
247.0400390625,191727.569732986,221330.728093952
249.91259765625,196212.273568006,226324.636445045
252.78515625,200748.823690136,231608.076539894
255.65771484375,205337.220099375,236695.498509701
258.5302734375,209977.462795725,241734.752574511
261.40283203125,214669.551779186,247108.74859617
264.275390625,219413.487049756,251940.577669241
267.14794921875,224209.268607436,257365.476006262
270.0205078125,229056.896452226,262845.868357347
272.89306640625,233956.370584126,268606.22951289
275.765625,238907.691003137,274254.086397578
278.63818359375,243910.857709257,279933.258752708
281.5107421875,248965.870702487,285541.725584042
284.38330078125,254072.729982828,291226.150971129
287.255859375,259231.435550278,297058.682735332
290.12841796875,264441.987404839,302603.888661023
293.0009765625,269704.38554651,308327.550712283
295.87353515625,275018.62997529,314427.454218705
298.74609375,280384.720691181,320457.264732166
301.61865234375,285802.657694182,326238.572724139
304.4912109375,291272.440984293,332167.210097286
307.36376953125,296794.070561514,338300.828002013
310.236328125,302367.546425845,344447.403997709
313.10888671875,307992.868577286,350967.480019978
315.9814453125,313670.037015837,357280.583481238
318.85400390625,319399.051741498,363662.708184217
321.7265625,325179.912754269,370290.590369886
324.59912109375,331012.62005415,376334.741322181
327.4716796875,336897.173641142,382852.331462315
330.34423828125,342833.573515243,389664.167430804
333.216796875,348821.819676455,396260.279014302
336.08935546875,354861.912124776,402682.161815857
338.9619140625,360953.850860208,409593.651091757
341.83447265625,367097.635882749,416321.92012328
344.70703125,373293.267192401,423387.293334472
347.57958984375,379540.744789163,430020.172584788
350.4521484375,385840.068673034,436726.234394465
353.32470703125,392191.238844016,443936.673029145
356.197265625,398594.255302108,450542.408510568
359.06982421875,405049.11804731,457328.558263649
361.9423828125,411555.827079622,464364.536796768
364.81494140625,418114.382399044,471634.672534095
367.6875,424724.784005576,478944.668497298
370.56005859375,431387.031899218,486187.737006185
373.4326171875,438101.12607997,493105.091386684
376.30517578125,444867.066547833,500175.752517509
379.177734375,451684.853302805,507450.604323822
382.05029296875,458554.486344887,515137.110000062
384.9228515625,465475.96567408,522857.942735053
387.79541015625,472449.291290382,530604.759087985
390.66796875,479474.463193795,538889.556411349
393.54052734375,486551.481384317,546733.174404844
396.4130859375,493680.34586195,554874.551346426
399.28564453125,500861.056626693,563006.982865368
402.158203125,508093.613678546,570759.226218073
405.03076171875,515378.017017508,578245.653540772
407.9033203125,522714.266643581,586058.63070426
410.77587890625,530102.362556764,594278.293757812
413.6484375,537542.304757057,602225.555508604
416.52099609375,545034.09324446,610309.826336331
419.3935546875,552577.728018973,618265.278554628
422.26611328125,560173.209080596,626217.595950907
425.138671875,567820.53642933,633747.654110908
428.01123046875,575519.710065173,641999.298168417
430.8837890625,583270.729988126,650349.076886193
