"r","theo","border"
226.564734216442,161262.910825611,193644.18550324
230.104808188574,166341.74761675,199742.226814288
233.644882160706,171499.326063565,205682.145879805
237.184956132838,176735.646166057,211864.77817269
240.72503010497,182050.707924225,217965.969111738
244.265104077102,187444.51133807,224256.023589674
247.805178049234,192917.056407592,230599.456863233
251.345252021366,198468.34313279,237121.716274966
254.885325993498,204098.371513665,243552.282062446
258.42539996563,209807.141550216,250235.304863838
261.965473937761,215594.653242443,256937.832362599
265.505547909893,221460.906590348,263852.390551581
269.045621882025,227405.901593929,270750.990444003
272.585695854157,233429.638253186,277601.311249429
276.125769826289,239532.11656812,284697.593398894
279.665843798421,245713.336538731,291944.184727651
283.205917770553,251973.298165018,299108.969639537
286.745991742685,258312.001446982,306220.580156157
290.286065714817,264729.446384622,313587.328894422
293.826139686949,271225.632977939,321006.700970871
297.366213659081,277800.561226932,328668.462429518
300.906287631213,284454.231131602,336174.167876514
304.446361603344,291186.642691949,343943.850253465
307.986435575476,297997.795907972,351678.864681238
311.526509547608,304887.690779672,359595.740325012
315.06658351974,311856.327307048,367567.370139029
318.606657491872,318903.705490101,375515.189833267
322.146731464004,326029.82532883,383642.296504675
325.686805436136,333234.686823236,391786.151764972
329.226879408268,340518.289973319,400000.349991171
332.7669533804,347880.634779078,408101.558469843
336.307027352532,355321.721240514,416530.317327748
339.847101324664,362841.549357626,425004.631231512
343.387175296795,370440.119130415,433604.998688552
346.927249268927,378117.43055888,442502.875265861
350.467323241059,385873.483643022,451208.836784978
354.007397213191,393708.278382841,459896.958313177
357.547471185323,401621.814778336,468840.63975223
361.087545157455,409614.092829507,477890.921107121
364.627619129587,417685.112536356,486956.591628161
368.167693101719,425834.87389888,496275.113024299
371.707767073851,434063.376917082,505418.242911213
375.247841045983,442370.62159096,514904.406661754
378.787915018115,450756.607920514,524196.069797844
382.327988990247,459221.335905745,533848.065423058
385.868062962378,467764.805546653,543309.855470437
389.40813693451,476387.016843237,553220.487380086
392.948210906642,485087.969795498,563077.042461394
396.488284878774,493867.664403435,572894.917564039
400.028358850906,502726.100667049,582871.427790382
403.568432823038,511663.27858634,593001.592737555
407.10850679517,520679.198161307,603130.469690942
410.648580767302,529773.85939195,613311.709713213
414.188654739434,538947.26227827,623633.876242364
417.728728711566,548199.406820267,633813.469959469
421.268802683698,557530.29301794,644223.148943694
424.808876655829,566939.92087129,654738.640211694
428.348950627961,576428.290380317,665211.785576643
431.889024600093,585995.40154502,675829.085912402
435.429098572225,595641.254365399,686648.98011546
438.969172544357,605365.848841456,697578.076144508
442.509246516489,615169.184973188,708610.004816681
446.049320488621,625051.262760598,719759.403435652
449.589394460753,635012.082203684,731025.336715078
453.129468432885,645051.643302446,742196.812706557
456.669542405017,655169.946056885,753255.303914085
460.209616377149,665366.990467001,764628.579327145
463.749690349281,675642.776532793,776008.353405298
467.289764321412,685997.304254261,787574.354131397
470.829838293544,696430.573631407,798995.387901063
474.369912265676,706942.584664228,810785.246619028
477.909986237808,717533.337352727,822614.380108549
481.45006020994,728202.831696902,834716.644211725
484.990134182072,738951.067696753,846613.832652019
488.530208154204,749778.045352282,858672.302558253
492.070282126336,760683.764663486,870754.161353837
495.610356098468,771668.225630367,883036.467955716
499.1504300706,782731.428252925,895356.123936887
502.690504042732,793873.37253116,908028.724752447
506.230578014863,805094.058465071,920428.69987374
509.770651986995,816393.486054658,932822.999535949
513.310725959127,827771.655299922,945636.431294347
516.850799931259,839228.566200863,958238.142874765
